version,scenario,concept,brand,pixels,zoom,video,swivel,wifi,price_lin
2,1,2,4,2,1,1,2,2,1.79
2,1,3,2,2,2,1,1,1,2.29
2,1,4,3,2,1,2,2,2,1.29
2,2,1,3,1,2,1,2,2,2.79
2,2,2,3,2,1,2,1,1,2.29
2,2,3,2,1,2,1,2,1,1.79
2,2,4,4,1,2,2,1,1,1.29
2,3,1,3,2,1,2,1,2,1.79
2,3,2,3,1,2,1,2,1,2.29
2,3,3,4,1,1,2,2,1,2.79
2,3,4,1,2,1,1,1,1,1.29
2,4,1,3,1,1,1,1,2,0.79
2,4,2,1,1,1,2,2,2,2.29
2,4,3,2,2,2,2,1,2,1.29
2,4,4,2,2,1,2,1,2,2.79
2,5,1,3,2,2,2,2,2,0.79
2,5,2,1,1,1,1,2,1,1.79
2,5,3,4,1,2,1,2,1,1.29
2,5,4,2,1,2,1,2,2,2.29
2,6,1,2,2,2,1,2,1,2.79
2,6,2,4,2,2,2,2,2,0.79
2,6,3,4,2,1,1,1,2,1.79
2,6,4,1,1,2,1,1,1,1.79
2,7,1,3,2,1,1,1,1,0.79
2,7,2,1,1,2,2,2,1,1.79
2,7,3,4,2,1,1,1,1,2.29
2,7,4,2,1,1,2,2,1,2.79
2,8,1,4,1,2,1,2,1,2.79
2,8,2,3,2,1,2,1,2,0.79
2,8,3,1,2,1,1,1,2,1.79
2,8,4,2,2,1,2,2,2,1.29
2,9,1,3,1,1,2,1,1,1.29
2,9,2,4,1,1,2,2,1,2.79
2,9,3,4,2,2,1,1,1,1.79
2,9,4,2,1,1,1,1,1,2.29
2,10,1,1,2,2,2,2,2,1.29
2,10,2,4,2,1,2,2,2,0.79
2,10,3,4,1,2,2,1,1,2.79
2,10,4,2,2,2,2,1,1,1.79
2,11,1,4,2,2,2,1,1,0.79
2,11,2,1,2,2,1,1,2,2.79
2,11,3,2,1,2,1,1,2,1.29
2,11,4,3,2,1,2,1,2,2.29
2,12,1,3,1,2,2,1,2,2.79
2,12,2,1,2,1,1,2,1,1.29
2,12,3,2,1,1,2,1,1,0.79
2,12,4,4,1,2,1,1,2,2.29
2,13,1,3,1,1,1,2,2,2.79
2,13,2,3,1,2,2,2,1,1.29
2,13,3,1,2,2,1,2,1,0.79
2,13,4,2,1,1,1,2,2,2.29
2,14,1,1,2,2,2,1,2,1.79
2,14,2,4,1,1,2,1,1,2.79
2,14,3,3,2,1,1,2,1,1.29
2,14,4,1,1,1,1,2,1,2.29
2,15,1,2,2,2,1,2,2,2.29
2,15,2,2,1,1,1,1,1,1.29
2,15,3,3,1,2,2,2,2,0.79
2,15,4,1,1,2,1,2,2,2.79
2,16,1,1,2,2,1,2,2,0.79
2,16,2,2,2,2,2,1,1,2.29
2,16,3,3,1,2,2,2,2,1.79
2,16,4,4,1,1,2,2,2,2.79
3,1,1,2,1,2,2,1,2,0.79
3,1,2,1,1,2,1,2,1,2.29
3,1,3,2,1,1,1,2,2,1.29
3,1,4,4,2,2,1,1,2,1.79
3,2,1,1,2,2,2,2,2,1.79
3,2,2,4,1,1,1,2,1,1.29
3,2,3,3,2,1,1,2,1,2.29
3,2,4,2,2,2,2,1,2,2.79
3,3,1,4,1,1,2,2,2,1.29
3,3,2,3,2,1,1,1,2,0.79
3,3,3,2,1,1,2,2,1,2.29
3,3,4,1,2,2,1,2,2,2.79
3,4,1,4,1,1,2,1,1,2.79
3,4,2,3,2,1,2,2,1,2.29
3,4,3,2,1,1,1,1,2,1.79
3,4,4,1,1,1,1,1,1,0.79
3,5,1,1,1,1,1,2,2,1.29
3,5,2,3,1,1,1,2,2,2.79
3,5,3,2,2,2,2,2,1,0.79
3,5,4,3,2,2,2,2,1,1.29
3,6,1,3,1,2,2,1,1,2.29
3,6,2,1,2,2,1,2,1,1.79
3,6,3,3,2,1,2,1,2,2.79
3,6,4,4,2,1,2,1,2,1.29
3,7,1,3,1,2,1,2,1,1.79
3,7,2,4,2,1,1,2,2,2.79
3,7,3,1,2,2,1,2,1,1.29
3,7,4,2,1,1,1,1,2,0.79
3,8,1,1,1,1,1,2,1,2.29
3,8,2,3,1,1,1,2,1,0.79
3,8,3,4,2,2,2,1,2,2.79
3,8,4,3,2,2,1,1,2,1.79
3,9,1,4,1,1,2,2,2,2.29
3,9,2,2,2,1,2,1,2,1.29
3,9,3,2,2,2,2,2,1,0.79
3,9,4,1,2,1,2,1,1,1.79
3,10,1,2,1,2,1,1,1,0.79
3,10,2,4,2,2,1,2,2,1.79
3,10,3,3,2,2,2,1,1,2.79
3,10,4,2,2,1,1,2,2,1.29
3,11,1,4,1,1,1,2,2,1.79
3,11,2,4,1,2,2,1,2,2.79
3,11,3,1,1,2,2,1,2,1.29
3,11,4,2,2,1,1,1,2,2.79
3,12,1,2,1,2,2,2,1,1.79
3,12,2,2,2,1,2,1,2,2.29
3,12,3,1,1,1,2,2,1,2.29
3,12,4,4,1,2,1,1,2,0.79
3,13,1,1,2,2,2,2,1,1.29
3,13,2,4,1,2,2,2,1,2.79
3,13,3,3,1,1,2,2,1,1.79
3,13,4,2,1,2,1,2,2,0.79
3,14,1,2,1,2,1,1,1,2.79
3,14,2,3,2,2,2,2,1,1.79
3,14,3,1,2,1,1,1,2,0.79
3,14,4,3,1,2,1,1,2,2.29
3,15,1,1,2,2,2,1,2,2.29
3,15,2,3,1,1,1,1,1,0.79
3,15,3,1,2,2,1,1,1,1.29
3,15,4,4,2,1,2,1,1,2.79
3,16,1,4,1,2,2,1,2,1.79
3,16,2,3,1,2,2,1,1,2.29
3,16,3,4,2,1,2,1,1,2.79
3,16,4,2,2,2,2,2,2,1.29
4,1,1,4,1,2,2,2,2,0.79
4,1,2,3,2,2,2,2,2,2.79
4,1,3,1,1,2,2,1,1,1.29
4,1,4,2,2,1,2,1,1,1.79
4,2,1,4,1,2,1,2,1,1.29
4,2,2,2,2,1,1,2,2,2.29
4,2,3,3,2,2,1,1,1,2.79
4,2,4,1,2,1,2,2,2,1.79
4,3,1,2,1,2,2,2,2,0.79
4,3,2,3,1,1,1,2,2,2.79
4,3,3,4,2,1,2,1,1,2.29
4,3,4,1,1,1,2,1,1,1.79
4,4,1,2,2,2,1,1,2,2.79
4,4,2,3,1,2,1,2,1,1.29
4,4,3,4,1,2,1,2,1,1.79
4,4,4,1,1,1,1,1,2,2.29
4,5,1,3,1,2,1,1,1,2.29
4,5,2,4,1,1,2,2,1,1.29
4,5,3,2,2,1,2,2,1,0.79
4,5,4,2,1,2,2,1,1,1.79
4,6,1,4,1,1,2,2,2,2.29
4,6,2,2,1,1,2,1,2,1.29
4,6,3,3,2,2,1,1,2,2.79
4,6,4,3,2,2,1,1,1,1.79
4,7,1,3,2,1,2,2,1,0.79
4,7,2,2,2,1,2,2,1,2.79
4,7,3,1,1,1,1,1,2,2.29
4,7,4,4,1,1,1,2,2,1.79
4,8,1,2,1,1,1,1,1,2.79
4,8,2,2,2,1,1,1,2,1.29
4,8,3,4,2,1,1,1,2,0.79
4,8,4,3,1,2,2,2,1,1.79
4,9,1,3,1,1,2,2,1,1.29
4,9,2,1,1,1,1,2,2,0.79
4,9,3,4,1,1,1,1,2,2.79
4,9,4,4,2,2,2,1,1,2.29
4,10,1,3,2,2,2,2,2,1.29
4,10,2,1,2,1,1,2,1,2.29
4,10,3,4,2,2,1,1,1,2.79
4,10,4,2,2,1,2,1,1,0.79
4,11,1,4,2,2,2,2,1,1.79
4,11,2,1,2,2,1,1,2,2.29
4,11,3,2,1,2,1,1,2,2.79
4,11,4,3,2,2,2,1,2,0.79
4,12,1,1,2,2,2,1,2,2.29
4,12,2,2,2,2,1,1,2,0.79
4,12,3,3,2,1,2,2,2,1.29
4,12,4,4,1,2,2,2,2,1.79
4,13,1,3,2,2,1,2,1,2.79
4,13,2,2,2,2,1,2,2,1.79
4,13,3,1,2,2,2,1,2,1.29
4,13,4,4,1,1,2,1,1,2.29
4,14,1,3,1,2,1,1,1,0.79
4,14,2,4,1,1,1,2,1,2.79
4,14,3,1,2,1,1,2,2,1.29
4,14,4,2,1,2,2,1,1,2.29
4,15,1,1,1,2,1,2,1,0.79
4,15,2,3,2,1,1,1,1,1.29
4,15,3,4,1,2,1,2,2,2.29
4,15,4,1,1,2,2,2,2,1.79
4,16,1,3,1,1,1,1,2,1.79
4,16,2,4,2,1,2,2,2,0.79
4,16,3,1,2,1,2,1,1,2.79
4,16,4,2,1,2,2,2,1,1.29
5,1,1,3,1,1,2,1,2,2.29
5,1,2,4,1,2,1,2,1,2.79
5,1,3,2,1,2,2,1,1,1.79
5,1,4,3,2,2,1,2,2,0.79
5,2,1,3,1,2,1,1,1,1.29
5,2,2,1,1,1,1,2,2,2.79
5,2,3,1,2,2,2,2,1,1.79
5,2,4,2,1,1,1,2,2,2.29
5,3,1,2,2,1,2,1,1,2.29
5,3,2,3,2,2,2,1,1,2.79
5,3,3,1,1,1,2,2,2,1.79
5,3,4,4,2,2,2,2,2,1.29
5,4,1,3,1,1,2,1,1,0.79
5,4,2,2,2,1,1,1,2,1.79
5,4,3,1,2,1,1,1,1,1.29
5,4,4,4,2,1,2,1,2,2.29
5,5,1,1,1,2,2,2,2,1.79
5,5,2,2,1,2,2,2,2,0.79
5,5,3,4,2,2,2,1,1,2.79
5,5,4,3,2,2,2,1,2,2.29
5,6,1,3,2,2,1,2,1,2.79
5,6,2,4,2,2,1,1,1,1.79
5,6,3,2,2,1,2,2,2,1.29
5,6,4,1,1,1,1,1,2,2.29
5,7,1,3,2,1,2,2,1,2.79
5,7,2,2,2,1,2,1,1,1.29
5,7,3,3,1,2,1,1,1,1.79
5,7,4,1,1,2,1,2,1,0.79
5,8,1,1,1,1,1,1,1,2.29
5,8,2,2,1,2,1,1,2,1.29
5,8,3,2,2,1,2,2,1,2.79
5,8,4,4,2,1,2,2,1,0.79
5,9,1,4,2,2,1,2,2,1.79
5,9,2,1,2,2,1,2,2,2.29
5,9,3,2,2,2,1,1,1,1.29
5,9,4,3,2,2,1,2,1,2.79
5,10,1,1,1,2,2,1,1,1.29
5,10,2,4,2,2,1,1,1,2.29
5,10,3,2,2,2,1,2,2,2.79
5,10,4,4,1,1,2,2,2,0.79
5,11,1,3,2,1,2,1,1,2.29
5,11,2,3,1,1,2,2,2,1.79
5,11,3,1,1,2,1,1,2,0.79
5,11,4,4,1,1,1,1,2,1.29
5,12,1,4,1,1,2,2,1,1.29
5,12,2,4,1,2,1,1,1,1.79
5,12,3,3,2,2,2,2,2,0.79
5,12,4,1,2,2,2,2,2,2.29
5,13,1,4,2,1,2,2,1,1.29
5,13,2,3,1,1,1,1,1,1.79
5,13,3,2,2,2,1,1,2,2.79
5,13,4,1,1,1,1,1,2,0.79
5,14,1,1,2,1,1,2,2,1.29
5,14,2,2,1,2,2,1,1,2.79
5,14,3,4,1,1,1,1,1,0.79
5,14,4,3,2,1,1,2,2,1.79
5,15,1,2,2,1,2,2,2,0.79
5,15,2,3,1,1,2,1,2,2.79
5,15,3,4,1,2,2,1,2,2.29
5,15,4,4,2,1,1,2,1,1.79
5,16,1,2,1,2,1,2,1,2.29
5,16,2,2,1,1,2,1,1,1.29
5,16,3,3,1,2,1,2,1,0.79
5,16,4,1,2,1,2,2,2,2.79
6,1,1,2,2,2,1,2,1,1.79
6,1,2,3,1,2,1,2,2,1.29
6,1,3,4,1,2,1,2,2,0.79
6,1,4,1,1,2,1,2,2,2.79
6,2,1,4,1,2,1,2,2,2.29
6,2,2,4,1,2,2,1,1,0.79
6,2,3,3,1,2,1,1,1,1.29
6,2,4,2,1,2,2,2,2,2.79
6,3,1,2,1,1,2,1,2,1.79
6,3,2,1,2,2,1,1,2,1.29
6,3,3,4,2,1,2,2,1,2.29
6,3,4,3,2,2,1,2,1,2.79
6,4,1,4,1,1,2,1,2,0.79
6,4,2,2,1,1,1,1,1,1.79
6,4,3,2,2,1,1,1,2,1.29
6,4,4,1,1,1,2,1,1,2.29
6,5,1,1,2,1,2,1,2,1.79
6,5,2,2,2,2,2,1,2,0.79
6,5,3,4,2,2,2,2,1,2.79
6,5,4,3,1,1,2,2,1,2.29
6,6,1,4,1,1,2,1,2,2.29
6,6,2,1,2,2,1,1,1,0.79
6,6,3,2,1,2,1,1,1,1.29
6,6,4,3,1,1,1,1,1,2.79
6,7,1,4,2,2,2,2,2,1.79
6,7,2,3,2,1,2,1,2,1.29
6,7,3,2,1,1,1,1,2,2.29
6,7,4,4,1,1,1,2,2,2.79
6,8,1,1,2,2,2,1,2,0.79
6,8,2,3,2,2,2,1,1,2.79
6,8,3,3,1,2,2,2,2,1.29
6,8,4,2,1,2,2,2,1,2.29
6,9,1,2,2,2,1,1,1,2.79
6,9,2,3,2,2,1,1,2,1.79
6,9,3,4,1,1,1,1,2,1.29
6,9,4,1,1,1,2,2,1,0.79
6,10,1,4,2,2,2,1,1,1.29
6,10,2,3,2,2,2,1,1,2.29
6,10,3,1,2,1,1,1,2,2.79
6,10,4,3,2,1,1,1,2,1.79
6,11,1,1,2,1,1,1,1,0.79
6,11,2,2,1,1,1,2,2,2.29
6,11,3,4,2,1,1,2,1,1.29
6,11,4,2,1,1,2,2,1,1.79
6,12,1,3,2,2,2,1,2,2.29
6,12,2,1,2,1,2,2,1,1.79
6,12,3,4,2,2,2,2,2,2.79
6,12,4,3,2,1,2,2,2,0.79
6,13,1,3,1,1,2,1,1,2.29
6,13,2,4,1,1,2,2,2,1.79
6,13,3,1,2,2,2,2,1,2.79
6,13,4,1,1,2,1,1,1,0.79
6,14,1,2,1,1,1,2,1,2.79
6,14,2,3,1,2,1,2,2,1.29
6,14,3,4,2,1,2,2,1,1.79
6,14,4,1,2,1,2,2,1,0.79
6,15,1,2,2,2,1,1,2,1.29
6,15,2,4,2,1,2,1,1,1.79
6,15,3,1,2,1,1,2,2,2.79
6,15,4,3,1,2,1,1,1,2.29
6,16,1,4,1,1,1,2,2,2.29
6,16,2,1,2,2,2,2,1,0.79
6,16,3,2,1,1,2,2,1,2.79
6,16,4,2,1,2,1,2,2,1.79
7,1,1,1,2,1,2,2,1,2.79
7,1,2,4,2,2,1,2,2,1.29
7,1,3,2,1,1,1,2,1,1.79
7,1,4,2,2,2,2,2,2,0.79
7,2,1,1,1,2,1,2,1,2.79
7,2,2,1,2,2,1,1,1,1.79
7,2,3,4,2,2,1,2,1,0.79
7,2,4,3,2,2,1,2,1,2.29
7,3,1,4,1,2,1,1,1,2.79
7,3,2,1,1,1,1,1,2,1.79
7,3,3,2,1,2,2,2,2,2.29
7,3,4,3,1,2,2,2,2,0.79
7,4,1,4,1,2,2,2,1,2.79
7,4,2,1,1,2,2,1,1,1.29
7,4,3,3,1,1,1,2,2,1.79
7,4,4,2,1,1,1,2,2,0.79
7,5,1,4,2,2,1,2,2,1.29
7,5,2,3,2,2,1,2,2,2.79
7,5,3,2,2,1,2,1,2,0.79
7,5,4,3,2,1,2,1,2,2.29
7,6,1,2,2,1,1,1,1,1.29
7,6,2,1,2,1,1,1,2,1.79
7,6,3,3,2,2,2,1,2,2.29
7,6,4,4,1,2,1,2,2,2.79
7,7,1,2,2,1,2,2,1,1.29
7,7,2,2,1,1,2,1,1,1.79
7,7,3,3,2,1,1,2,2,2.29
7,7,4,4,2,2,1,1,2,2.79
7,8,1,3,1,2,2,2,2,2.79
7,8,2,2,1,2,2,2,2,2.29
7,8,3,1,2,1,1,1,1,1.79
7,8,4,3,2,1,1,1,2,1.29
7,9,1,4,1,2,2,2,1,2.29
7,9,2,2,1,1,2,1,2,2.79
7,9,3,3,2,1,1,1,1,0.79
7,9,4,1,2,1,2,2,1,1.29
7,10,1,2,2,1,2,1,2,1.79
7,10,2,3,2,2,1,1,1,1.29
7,10,3,4,2,1,1,1,1,0.79
7,10,4,1,1,2,2,1,2,2.29
7,11,1,2,1,1,2,2,2,2.79
7,11,2,4,1,1,2,1,1,2.29
7,11,3,3,2,1,1,1,2,0.79
7,11,4,1,1,1,1,1,1,1.29
7,12,1,1,2,2,2,1,1,1.79
7,12,2,4,1,2,2,2,1,0.79
7,12,3,2,2,1,2,1,2,1.29
7,12,4,3,1,2,2,1,2,2.29
7,13,1,1,1,2,2,1,1,0.79
7,13,2,4,2,1,1,1,1,2.29
7,13,3,3,1,2,1,1,2,2.79
7,13,4,2,1,1,1,2,1,1.79
7,14,1,2,1,2,1,2,2,0.79
7,14,2,4,1,2,1,1,1,1.79
7,14,3,1,2,2,2,2,2,2.29
7,14,4,3,2,2,2,1,2,1.29
7,15,1,4,2,2,2,2,1,1.79
7,15,2,4,1,1,1,1,2,2.79
7,15,3,3,1,1,2,2,1,0.79
7,15,4,1,2,1,1,1,2,2.29
7,16,1,2,1,1,1,1,1,2.79
7,16,2,4,1,2,2,2,1,0.79
7,16,3,3,1,2,2,2,1,1.79
7,16,4,1,2,1,1,2,1,1.29
8,1,1,1,2,2,2,2,2,2.79
8,1,2,2,2,2,1,2,1,1.79
8,1,3,1,1,1,2,1,1,0.79
8,1,4,4,1,1,2,1,1,2.29
8,2,1,2,2,1,1,1,1,0.79
8,2,2,4,2,1,2,1,2,1.79
8,2,3,3,1,1,2,2,2,1.29
8,2,4,1,1,2,2,1,1,2.29
8,3,1,4,1,2,1,1,2,2.79
8,3,2,1,2,2,2,2,1,1.79
8,3,3,3,2,2,1,2,2,1.29
8,3,4,4,2,1,2,2,1,0.79
8,4,1,2,2,1,2,1,2,0.79
8,4,2,2,1,2,1,1,1,1.29
8,4,3,3,2,1,1,1,1,1.79
8,4,4,1,1,2,1,1,2,2.29
8,5,1,1,1,1,2,2,2,2.79
8,5,2,2,2,1,2,2,2,1.79
8,5,3,4,1,1,1,1,1,1.29
8,5,4,1,1,1,2,2,1,0.79
8,6,1,1,2,1,2,1,1,1.29
8,6,2,4,1,2,2,1,2,0.79
8,6,3,2,2,2,1,2,2,2.29
8,6,4,2,1,1,1,1,1,2.79
8,7,1,2,1,2,2,1,1,2.79
8,7,2,4,2,1,1,2,2,2.29
8,7,3,3,1,2,1,2,2,0.79
8,7,4,4,1,2,2,1,2,1.79
8,8,1,4,1,2,1,1,1,2.29
8,8,2,2,2,1,1,1,1,0.79
8,8,3,1,1,2,2,2,2,1.29
8,8,4,3,1,2,1,2,1,2.79
8,9,1,4,1,1,1,1,2,1.29
8,9,2,1,2,1,1,2,1,1.79
8,9,3,3,1,1,1,1,1,2.79
8,9,4,3,2,2,1,2,2,2.29
8,10,1,2,1,2,2,2,2,2.79
8,10,2,4,1,1,1,2,1,2.29
8,10,3,3,2,1,2,2,2,1.29
8,10,4,1,1,2,2,2,2,1.79
8,11,1,4,1,2,1,2,2,1.29
8,11,2,2,1,2,2,1,1,0.79
8,11,3,3,2,1,2,1,2,2.79
8,11,4,3,2,2,1,2,1,2.29
8,12,1,1,2,1,2,2,2,2.79
8,12,2,2,2,2,1,1,2,2.79
8,12,3,4,2,1,1,1,1,2.29
8,12,4,3,1,2,2,1,2,1.79
8,13,1,1,2,1,1,2,1,1.29
8,13,2,4,2,2,1,2,1,0.79
8,13,3,3,2,1,1,2,1,1.79
8,13,4,2,2,2,1,1,1,2.79
8,14,1,2,1,1,2,2,2,1.79
8,14,2,4,2,2,1,1,1,0.79
8,14,3,3,2,1,1,2,1,2.29
8,14,4,1,1,2,2,2,2,1.29
8,15,1,4,1,2,2,1,2,2.29
8,15,2,3,2,2,2,1,1,0.79
8,15,3,2,2,2,2,2,2,1.29
8,15,4,1,1,1,2,1,2,2.79
8,16,1,3,2,2,2,1,2,2.29
8,16,2,2,1,2,1,2,1,0.79
8,16,3,4,1,1,2,2,1,1.79
8,16,4,3,2,1,1,2,1,1.29
9,1,1,3,1,2,1,1,2,2.79
9,1,2,2,2,2,2,2,1,1.79
9,1,3,1,1,2,2,1,2,0.79
9,1,4,4,1,2,1,2,1,2.29
9,2,1,1,1,1,2,2,2,1.29
9,2,2,3,2,2,2,2,1,2.79
9,2,3,4,2,1,1,2,1,1.79
9,2,4,2,2,2,1,1,1,2.29
9,3,1,4,1,2,1,1,2,0.79
9,3,2,1,2,2,1,1,1,2.79
9,3,3,2,2,2,2,2,1,1.29
9,3,4,3,2,2,2,2,2,1.79
9,4,1,3,1,1,1,1,1,2.79
9,4,2,2,1,1,1,1,1,2.29
9,4,3,1,1,1,1,2,1,0.79
9,4,4,4,1,2,1,1,1,1.79
9,5,1,1,1,1,2,1,1,0.79
9,5,2,4,2,1,1,2,1,1.29
9,5,3,2,1,2,2,1,2,2.29
9,5,4,3,2,2,2,2,1,1.79
9,6,1,2,1,2,1,1,1,1.79
9,6,2,2,1,1,2,2,1,2.29
9,6,3,1,1,1,1,2,1,2.79
9,6,4,4,2,2,2,1,1,1.29
9,7,1,2,1,2,2,2,2,2.79
9,7,2,1,2,1,1,2,1,2.29
9,7,3,3,2,2,1,2,2,0.79
9,7,4,4,2,1,2,2,1,1.29
9,8,1,2,2,1,2,2,2,2.79
9,8,2,4,1,2,2,1,2,1.79
9,8,3,1,1,2,1,1,1,2.29
9,8,4,1,1,1,2,2,2,0.79
9,9,1,4,2,2,1,2,2,2.29
9,9,2,1,2,2,2,1,1,2.79
9,9,3,3,1,2,2,1,2,1.29
9,9,4,2,2,2,1,2,2,1.79
9,10,1,3,1,1,1,2,2,1.29
9,10,2,1,1,1,2,1,1,2.79
9,10,3,2,1,1,2,2,2,0.79
9,10,4,3,1,2,2,1,2,1.79
9,11,1,4,2,1,1,1,1,1.29
9,11,2,4,1,2,1,1,2,2.29
9,11,3,3,2,1,1,1,2,1.79
9,11,4,1,1,2,1,2,1,2.79
9,12,1,4,2,1,1,1,1,1.79
9,12,2,2,2,1,1,1,2,0.79
9,12,3,1,2,2,1,2,2,1.29
9,12,4,3,2,1,1,2,2,2.29
9,13,1,2,2,1,2,1,2,1.79
9,13,2,4,1,1,1,1,2,1.29
9,13,3,1,2,1,2,1,2,2.79
9,13,4,3,1,1,1,2,1,0.79
9,14,1,3,2,2,1,2,1,2.29
9,14,2,2,2,1,2,1,2,1.29
9,14,3,4,2,1,1,2,1,0.79
9,14,4,3,2,1,2,1,2,1.79
9,15,1,4,2,2,2,2,2,2.79
9,15,2,3,2,2,2,1,2,2.29
9,15,3,2,2,2,2,2,2,1.29
9,15,4,4,1,1,2,2,1,0.79
9,16,1,3,1,2,2,1,1,0.79
9,16,2,2,1,1,2,2,2,2.29
9,16,3,1,1,2,2,1,2,1.29
9,16,4,4,2,1,1,1,2,2.79
10,1,1,3,1,2,1,2,1,0.79
10,1,2,1,2,2,1,2,2,2.29
10,1,3,4,1,1,1,1,2,1.29
10,1,4,2,1,2,1,2,1,2.79
10,2,1,4,2,1,1,2,1,2.79
10,2,2,1,2,1,2,1,2,0.79
10,2,3,2,2,1,2,1,2,1.79
10,2,4,3,2,1,2,2,2,1.29
10,3,1,3,1,1,1,1,2,2.29
10,3,2,1,2,2,1,2,2,0.79
10,3,3,2,2,1,1,2,2,1.79
10,3,4,2,2,2,2,1,2,1.29
10,4,1,3,2,2,1,2,2,1.79
10,4,2,2,1,1,2,1,1,2.79
10,4,3,4,1,2,1,2,1,2.29
10,4,4,4,1,1,2,2,2,1.29
10,5,1,1,1,2,1,1,2,1.79
10,5,2,1,1,1,2,2,1,0.79
10,5,3,2,2,2,1,1,1,1.29
10,5,4,4,2,2,1,2,1,2.29
10,6,1,4,1,2,2,1,2,2.79
10,6,2,3,2,1,2,1,2,1.79
10,6,3,1,1,2,2,1,1,1.29
10,6,4,2,2,2,2,2,2,2.29
10,7,1,4,2,1,1,2,2,0.79
10,7,2,3,1,1,2,2,1,1.79
10,7,3,1,2,1,2,2,1,2.79
10,7,4,2,2,2,1,2,1,2.29
10,8,1,4,2,1,2,2,2,1.79
10,8,2,2,1,2,1,1,1,2.29
10,8,3,3,1,1,2,1,1,1.29
10,8,4,3,1,2,1,2,2,2.79
10,9,1,2,1,1,2,2,2,0.79
10,9,2,1,1,2,1,1,2,2.79
10,9,3,3,1,2,1,2,2,1.29
10,9,4,4,1,2,1,1,2,1.79
10,10,1,1,1,2,1,2,1,1.79
10,10,2,3,1,1,2,1,2,0.79
10,10,3,4,2,2,1,1,2,2.29
10,10,4,2,1,1,1,2,1,1.29
10,11,1,3,2,1,2,1,1,2.79
10,11,2,1,2,2,2,1,2,2.29
10,11,3,4,2,2,1,1,2,0.79
10,11,4,4,2,1,2,2,1,1.79
10,12,1,1,1,2,1,2,1,0.79
10,12,2,4,2,2,1,2,1,1.29
10,12,3,3,2,1,2,1,1,2.79
10,12,4,2,2,2,2,1,1,1.79
10,13,1,4,1,2,2,2,2,0.79
10,13,2,1,2,2,2,1,2,2.79
10,13,3,3,1,2,2,2,2,1.79
10,13,4,2,1,1,2,1,1,2.29
10,14,1,3,1,1,2,1,1,1.29
10,14,2,2,1,2,1,1,1,0.79
10,14,3,4,2,2,1,2,1,2.29
10,14,4,1,1,1,2,1,1,2.79
10,15,1,1,2,1,1,1,2,1.29
