"Version (0 = Fixed Task)","Task","Concept","Input Planning Assistance:","Advertising:","Proximity to data points:","Mobile App Availability:","Price"
12,6,3,2,2,1,1,3
12,7,1,2,3,2,1,1
12,7,2,2,4,4,2,2
12,7,3,1,1,3,1,3
12,8,1,1,4,4,2,4
12,8,2,2,1,3,1,5
12,8,3,1,2,1,2,2
12,9,1,1,4,2,1,5
12,9,2,2,3,4,2,3
12,9,3,1,2,3,1,1
12,10,1,2,1,1,2,4
12,10,2,1,3,4,1,2
12,10,3,2,2,3,2,5
12,11,1,1,4,2,2,3
12,11,2,1,3,3,2,4
12,11,3,2,1,1,1,2
12,12,1,2,4,1,1,5
12,12,2,1,1,2,2,2
12,12,3,2,2,4,1,1
13,1,1,1,2,1,1,3
13,1,2,1,1,4,1,4
13,1,3,2,3,2,2,1
13,2,1,1,3,1,1,4
13,2,2,2,4,3,2,2
13,2,3,2,1,4,2,3
13,3,1,1,2,3,2,5
13,3,2,2,4,2,1,1
13,3,3,2,3,1,2,3
13,4,1,1,4,3,1,2
13,4,2,1,2,4,1,5
13,4,3,2,1,2,2,4
13,5,1,1,1,2,1,3
13,5,2,2,3,3,1,4
13,5,3,1,4,1,2,1
13,6,1,2,3,2,2,2
13,6,2,1,1,3,1,1
13,6,3,2,2,4,2,5
13,7,1,2,2,1,1,2
13,7,2,1,1,3,2,3
13,7,3,1,4,4,2,1
13,8,1,1,3,1,2,5
13,8,2,2,2,2,1,3
13,8,3,2,4,4,1,4
13,9,1,2,1,1,2,1
13,9,2,2,3,3,1,5
13,9,3,1,2,2,2,4
13,10,1,1,4,4,1,2
13,10,2,2,2,3,2,3
13,10,3,1,3,2,1,1
13,11,1,1,2,3,2,2
13,11,2,1,4,1,2,4
13,11,3,2,1,4,1,5
13,12,1,2,1,1,1,2
13,12,2,2,3,4,1,4
13,12,3,1,4,2,2,5
14,1,1,2,2,4,2,1
14,1,2,1,1,3,1,4
14,1,3,1,4,1,1,3
14,2,1,2,4,3,2,3
14,2,2,1,2,1,1,1
14,2,3,2,3,2,2,2
14,3,1,2,4,1,2,4
14,3,2,1,1,4,2,5
14,3,3,2,3,2,1,1
14,4,1,1,3,4,1,3
14,4,2,2,1,2,2,5
14,4,3,1,2,3,1,2
14,5,1,2,4,2,1,5
14,5,2,1,1,4,2,2
14,5,3,1,3,3,2,1
14,6,1,2,2,1,1,3
14,6,2,2,4,3,1,5
14,6,3,1,1,2,2,4
14,7,1,2,2,4,1,4
14,7,2,1,3,1,2,3
14,7,3,2,1,3,2,1
14,8,1,1,2,4,1,1
14,8,2,1,4,2,1,2
14,8,3,2,3,1,2,5
14,9,1,2,1,1,1,2
14,9,2,1,2,2,2,4
14,9,3,2,4,4,2,3
14,10,1,2,4,4,2,1
14,10,2,1,3,3,1,4
14,10,3,1,1,1,1,5
14,11,1,1,2,2,2,2
14,11,2,1,4,1,1,5
14,11,3,2,3,3,1,3
14,12,1,2,3,4,2,2
14,12,2,2,2,3,2,4
14,12,3,1,1,2,1,3
15,1,1,1,2,4,2,5
15,1,2,1,3,1,2,1
15,1,3,2,1,2,1,4
15,2,1,2,2,2,1,1
15,2,2,2,4,3,1,2
15,2,3,1,1,4,2,3
15,3,1,2,1,4,1,2
15,3,2,2,4,1,2,4
15,3,3,1,3,3,1,5
15,4,1,1,3,2,2,2
15,4,2,1,4,3,2,3
15,4,3,2,2,1,1,1
15,5,1,2,2,2,2,5
15,5,2,2,1,3,2,1
15,5,3,1,3,4,1,4
15,6,1,2,3,4,2,5
15,6,2,1,1,2,1,1
15,6,3,1,4,1,1,3
15,7,1,2,3,2,1,3
15,7,2,1,2,1,2,2
15,7,3,2,4,3,1,4
15,8,1,2,1,1,1,2
15,8,2,1,4,4,2,1
15,8,3,1,2,3,2,3
15,9,1,2,1,1,2,4
15,9,2,2,2,4,1,3
15,9,3,1,4,2,1,5
15,10,1,1,3,3,2,1
15,10,2,2,4,2,1,2
15,10,3,1,1,1,2,5
15,11,1,2,4,2,2,3
15,11,2,2,3,3,2,2
15,11,3,1,2,4,1,4
15,12,1,2,2,3,2,5
15,12,2,1,1,4,1,4
15,12,3,1,3,1,1,1
16,1,1,2,3,1,2,4
16,1,2,1,2,3,1,5
16,1,3,1,4,4,2,2
16,2,1,1,2,1,2,1
16,2,2,2,3,4,1,5
16,2,3,2,1,2,1,3
16,3,1,1,1,3,1,2
16,3,2,2,4,2,2,1
16,3,3,2,2,1,1,3
16,4,1,2,4,3,1,1
16,4,2,1,1,4,2,3
16,4,3,1,3,2,2,4
16,5,1,1,4,1,1,5
16,5,2,2,1,3,2,4
16,5,3,2,3,4,1,2
16,6,1,2,1,3,1,1
16,6,2,1,2,2,2,4
16,6,3,1,4,4,2,3
16,7,1,2,1,4,2,1
16,7,2,1,3,2,1,5
16,7,3,2,2,1,2,2
16,8,1,2,4,1,2,5
16,8,2,1,2,2,1,2
16,8,3,1,3,3,1,3
16,9,1,2,1,2,2,5
16,9,2,1,3,1,2,2
16,9,3,1,4,4,1,4
16,10,1,2,2,3,1,4
16,10,2,2,3,4,1,1
16,10,3,1,1,1,2,3
16,11,1,1,2,2,1,1
16,11,2,2,4,3,2,3
16,11,3,2,3,1,1,4
16,12,1,1,2,4,2,1
16,12,2,1,1,3,2,5
16,12,3,2,4,2,1,2
17,1,1,2,2,4,2,5
17,1,2,1,1,3,1,2
17,1,3,2,3,2,2,3
17,2,1,2,3,4,2,2
17,2,2,1,2,3,1,3
17,2,3,1,4,1,1,4
17,3,1,1,3,4,1,5
17,3,2,1,4,2,2,4
17,3,3,2,1,1,1,1
17,4,1,1,4,2,1,1
17,4,2,2,1,1,2,2
17,4,3,2,2,3,2,4
17,5,1,1,3,1,2,1
17,5,2,1,4,3,2,5
17,5,3,2,1,4,1,3
17,6,1,1,1,4,2,4
17,6,2,2,2,2,1,5
17,6,3,2,3,1,1,3
17,7,1,2,2,2,2,3
17,7,2,1,1,1,1,5
17,7,3,1,4,3,1,2
17,8,1,2,4,4,2,1
17,8,2,1,3,2,1,4
17,8,3,2,2,3,2,2
17,9,1,1,3,3,2,3
17,9,2,2,4,4,1,5
17,9,3,1,2,1,1,2
17,10,1,1,2,4,1,1
17,10,2,2,1,2,2,4
17,10,3,2,4,1,2,5
17,11,1,2,2,1,1,3
17,11,2,1,1,2,2,2
17,11,3,2,3,3,1,4
17,12,1,1,4,4,2,2
17,12,2,1,3,3,2,1
17,12,3,2,1,2,1,5
18,1,1,1,4,2,1,3
18,1,2,1,2,1,2,4
18,1,3,2,1,3,1,1
18,2,1,2,3,4,2,2
18,2,2,1,1,3,1,5
18,2,3,2,4,2,2,1
18,3,1,2,2,4,1,4
18,3,2,2,4,3,1,2
18,3,3,1,3,1,2,3
18,4,1,1,2,2,2,5
18,4,2,2,3,1,1,1
18,4,3,1,1,4,2,3
18,5,1,2,3,3,2,5
18,5,2,1,4,4,1,4
18,5,3,1,2,2,1,2
18,6,1,1,3,2,1,3
18,6,2,2,1,1,2,4
18,6,3,2,4,3,2,1
18,7,1,2,3,2,2,4
18,7,2,1,2,1,2,1
18,7,3,2,1,4,1,3
18,8,1,1,1,1,1,2
18,8,2,2,2,4,2,5
18,8,3,1,4,3,1,4
18,9,1,1,3,4,1,5
18,9,2,1,1,2,2,1
18,9,3,2,4,1,1,3
18,10,1,2,4,2,2,3
18,10,2,1,3,1,1,1
18,10,3,2,2,3,2,2
18,11,1,1,1,3,2,5
18,11,2,1,4,1,2,2
18,11,3,2,2,4,1,4
18,12,1,2,1,2,1,2
18,12,2,2,3,4,1,1
18,12,3,1,2,3,2,3
19,1,1,1,4,4,2,4
19,1,2,2,2,1,1,5
19,1,3,2,3,2,2,2
19,2,1,2,4,1,2,5
19,2,2,1,2,2,1,4
19,2,3,1,1,3,1,1
19,3,1,2,4,2,1,1
19,3,2,1,1,4,2,3
19,3,3,2,3,3,1,4
19,4,1,1,1,1,2,5
19,4,2,1,3,4,2,2
19,4,3,2,2,3,1,3
19,5,1,2,1,1,2,4
19,5,2,1,4,4,1,2
19,5,3,1,2,2,2,1
19,6,1,1,2,2,2,3
19,6,2,2,3,3,1,5
19,6,3,2,1,4,1,2
19,7,1,1,1,2,1,5
19,7,2,1,3,1,1,4
19,7,3,2,4,3,2,1
19,8,1,2,3,4,2,3
19,8,2,2,2,1,2,1
19,8,3,1,4,3,1,2
19,9,1,1,2,4,1,5
19,9,2,1,3,3,2,4
19,9,3,2,4,1,1,3
19,10,1,2,4,4,2,5
19,10,2,2,1,2,2,4
19,10,3,1,2,1,1,2
19,11,1,2,3,2,2,1
19,11,2,1,1,3,1,3
19,11,3,1,4,1,2,4
19,12,1,2,2,2,1,5
19,12,2,2,1,4,1,1
19,12,3,1,3,3,2,2
20,1,1,1,3,2,1,3
20,1,2,2,2,3,2,2
20,1,3,1,4,1,1,1
20,2,1,2,3,1,2,5
20,2,2,2,1,4,2,3
20,2,3,1,4,2,1,4
20,3,1,2,1,3,1,4
20,3,2,2,3,1,1,2
20,3,3,1,2,4,2,1
20,4,1,2,2,4,1,3
20,4,2,1,4,3,2,5
20,4,3,1,1,2,2,2
20,5,1,1,3,4,1,5
20,5,2,2,4,2,2,3
20,5,3,1,1,3,1,1
20,6,1,2,2,1,2,4
20,6,2,1,3,2,1,5
20,6,3,2,4,4,2,2
20,7,1,2,4,2,1,1
20,7,2,1,1,1,2,3
20,7,3,2,2,3,1,4
20,8,1,1,2,3,2,3
20,8,2,2,1,1,1,2
20,8,3,1,3,4,2,4
20,9,1,2,1,3,2,5
20,9,2,1,4,1,1,3
20,9,3,1,2,4,1,1
20,10,1,2,2,1,2,1
20,10,2,1,1,4,1,4
20,10,3,2,3,2,2,2
20,11,1,2,4,3,1,5
20,11,2,1,3,2,2,1
20,11,3,1,2,4,2,2
20,12,1,2,1,2,1,5
20,12,2,2,3,1,1,3
20,12,3,1,4,3,2,4
21,1,1,2,3,3,1,2
21,1,2,1,2,1,1,5
21,1,3,2,1,4,2,1
21,2,1,1,3,1,2,5
21,2,2,2,2,4,1,4
21,2,3,1,4,2,2,3
21,3,1,2,1,2,2,4
21,3,2,2,3,4,1,3
21,3,3,1,4,3,1,1
21,4,1,1,1,3,2,2
21,4,2,1,4,1,2,4
21,4,3,2,2,2,1,3
21,5,1,2,4,4,2,5
21,5,2,2,3,3,2,1
21,5,3,1,2,2,1,2
21,6,1,2,2,3,2,3
21,6,2,1,1,1,1,1
21,6,3,1,4,4,1,2
21,7,1,2,4,4,1,2
21,7,2,2,1,1,1,4
21,7,3,1,3,2,2,5
21,8,1,2,3,2,1,4
21,8,2,1,1,3,2,3
21,8,3,1,2,1,2,5
21,9,1,1,3,3,1,3
21,9,2,2,4,1,2,1
21,9,3,1,1,4,2,4
21,10,1,2,1,1,1,2
21,10,2,1,3,4,2,1
21,10,3,2,2,2,1,5
21,11,1,1,2,3,1,1
21,11,2,1,3,1,1,4
21,11,3,2,4,2,2,2
21,12,1,1,4,2,1,3
21,12,2,2,1,4,2,1
21,12,3,2,2,3,2,5
22,1,1,2,4,4,1,5
22,1,2,2,3,1,2,2
22,1,3,1,2,2,2,4
22,2,1,2,4,2,2,4
22,2,2,1,2,4,1,2
22,2,3,1,1,3,1,3
22,3,1,1,1,1,2,5
22,3,2,2,2,4,2,3
22,3,3,2,3,3,1,1
22,4,1,1,1,2,1,1
22,4,2,1,3,1,1,3
22,4,3,2,4,3,2,4
22,5,1,1,3,4,2,2
22,5,2,2,2,1,1,1
22,5,3,2,1,2,1,5
22,6,1,2,3,4,1,4
22,6,2,1,4,3,2,5
22,6,3,1,2,2,2,2
22,7,1,1,4,3,1,4
22,7,2,1,3,4,2,5
22,7,3,2,1,1,2,3
22,8,1,2,2,2,1,3
22,8,2,1,4,1,2,1
22,8,3,2,1,3,1,2
22,9,1,2,3,3,2,3
22,9,2,1,4,4,1,5
22,9,3,1,1,2,2,1
22,10,1,2,4,4,1,1
22,10,2,2,2,1,1,2
22,10,3,1,3,2,2,4
22,11,1,2,1,1,2,2
22,11,2,1,4,4,1,3
22,11,3,1,2,3,1,4
22,12,1,2,1,2,2,3
22,12,2,1,3,1,1,2
22,12,3,2,2,3,2,5
23,1,1,2,4,1,2,4
23,1,2,2,3,2,1,5
23,1,3,1,2,4,2,1
23,2,1,1,4,2,1,2
23,2,2,1,1,3,1,5
23,2,3,2,3,4,2,3
23,3,1,2,1,3,2,1
23,3,2,1,3,2,2,2
23,3,3,1,2,1,1,4
23,4,1,2,4,3,1,1
23,4,2,2,1,4,1,4
23,4,3,1,2,1,2,3
23,5,1,2,4,1,2,5
23,5,2,1,1,4,1,3
23,5,3,2,3,2,1,1
23,6,1,1,2,3,2,2
23,6,2,1,1,4,2,4
23,6,3,2,3,1,1,5
23,7,1,2,2,2,2,4
23,7,2,1,4,3,1,3
23,7,3,1,1,1,1,1
23,8,1,2,3,3,2,2
23,8,2,1,2,2,1,5
23,8,3,2,4,4,2,3
23,9,1,1,1,2,2,5
23,9,2,2,2,4,1,2
23,9,3,1,3,3,2,1
23,10,1,1,2,4,2,1
23,10,2,2,1,2,1,2
23,10,3,2,4,1,1,4
23,11,1,2,4,1,2,3
23,11,2,1,1,4,1,5
23,11,3,1,3,3,1,4
23,12,1,1,4,2,1,1
23,12,2,2,2,3,2,4
23,12,3,2,3,1,2,5
24,1,1,1,4,1,2,2
24,1,2,2,1,3,1,3
24,1,3,2,2,2,1,1
24,2,1,1,3,4,2,3
24,2,2,1,1,2,2,4
24,2,3,2,2,1,1,5
24,3,1,2,4,4,2,2
24,3,2,1,3,3,1,4
24,3,3,1,2,1,1,3
24,4,1,2,1,3,2,2
24,4,2,1,4,4,1,5
24,4,3,2,3,2,2,1
24,5,1,1,1,1,2,1
24,5,2,2,3,4,1,4
24,5,3,1,2,3,2,5
24,6,1,2,4,2,1,3
24,6,2,2,1,4,1,4
24,6,3,1,3,1,2,2
24,7,1,2,2,2,2,3
24,7,2,1,4,3,1,2
24,7,3,2,3,1,1,1
24,8,1,1,4,2,2,5
24,8,2,1,1,4,2,3
24,8,3,2,2,3,1,2
24,9,1,1,3,2,1,5
24,9,2,2,2,4,2,1
24,9,3,2,4,3,2,4
24,10,1,1,2,3,1,1
24,10,2,2,3,4,2,5
24,10,3,1,1,1,1,2
24,11,1,1,3,4,1,2
24,11,2,2,1,2,1,3
24,11,3,1,4,1,2,4
